,Price,ram_in_gb,ddr_version,processor_name,gen_type,OS,disk_drive,storage_in_gb,size_in_inches,touchscreen,company,graphic_card
0,"16,990",4,4,Intel,10,Windows,SSD,512,11.6,No,Primebook,No
1,"18,990",4,4,Intel,10,Windows,SSD,512,11.6,No,Primebook,No
2,"38,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
3,"47,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Asus,No
4,"38,990",8,4,Intel,10,Windows,SSD,256,14,No,HP,No
5,"65,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Asus,Yes
6,"79,990",8,4,Intel,10,Mac,SSD,512,13.3,No,Apple,No
7,"96,990",16,5,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
8,"58,990",16,4,Intel,10,Windows,SSD,256,15.6,No,Asus,No
9,"35,990",8,4,AMD,Not Mentioned,Windows,SSD,512,14,No,Realmebook,No
10,"36,490",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
11,"78,990",8,5,AMD,Not Mentioned,Windows,SSD,512,14,No,MSI,Yes
12,"43,819",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
13,"38,990",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
14,"31,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Lenovo,No
15,"81,990",16,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,Yes
16,"34,990",8,4,AMD,Not Mentioned,Windows,HDD,1000,15.6,No,MSI,No
17,"33,990",8,4,AMD,Not Mentioned,Windows,SSD,512,14,No,Lenovo,No
18,"23,890",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
19,"64,990",16,4,AMD,Not Mentioned,Windows,SSD,512,14,No,HP,Yes
20,"59,990",16,3,Intel,10,Windows,SSD,512,15,No,MSI,Yes
21,"43,975",8,4,Intel,10,Windows,SSD,512,15.6,No,Lenovo,No
22,"32,990",8,4,Intel,10,Windows,SSD,256,15.6,No,HP,No
23,"39,999",8,4,Intel,Not Mentioned,Windows,SSD,256,15.6,No,Lenovo,No
24,"33,990",8,4,Intel,10,Windows,SSD,256,15.6,No,Lenovo,No
25,"23,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Infinix,No
26,"26,989",8,4,Intel,10,Windows,SSD,512,15.6,No,Lenovo,No
27,"16,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Primebook,No
28,"49,990",8,4,Intel,10,Windows,SSD,512,11.6,No,Lenovo,Yes
29,"44,819",8,4,Intel,10,Windows,SSD,512,15.5,No,HP,No
30,"48,990",16,4,Intel,10,Windows,SSD,512,14,No,MSI,No
31,"54,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
32,"60,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Asus,Yes
33,"38,990",8,4,Intel,Not Mentioned,Windows,Both,1000+256,15.6,No,HP,No
34,"42,990",16,4,AMD,Not Mentioned,Windows,SSD,256,15.6,No,Asus,No
35,"52,490",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
36,"62,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,Yes
37,"23,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
38,"52,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
39,"18,990",4,4,Intel,10,Windows,SSD,512,14,No,Primebook,No
40,"66,800",16,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,HP,No
41,"49,990",16,4,Intel,10,Windows,SSD,512,14,No,HP,No
42,"74,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
43,"59,990",16,4,Intel,10,Windows,SSD,512,14,No,HP,No
44,"40,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
45,"39,990",8,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Asus,No
46,"38,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Dell,No
47,"39,999",8,4,AMD,Not Mentioned,Windows,SSD,512,0,No,Lenovo,No
48,"54,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Realmebook,No
49,"56,990",8,4,Intel,10,Windows,SSD,512,14,No,Asus,No
50,"73,990",16,4,Intel,10,Windows,SSD,512,14,No,Asus,No
51,"16,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Primebook,No
52,"64,990",16,4,Intel,10,Windows,SSD,512,11.6,No,HP,Yes
53,"57,990",16,4,Intel,10,Windows,SSD,256,15,No,HP,No
54,"48,990",16,4,AMD,Not Mentioned,Windows,SSD,512,14,No,HP,No
55,"54,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
56,"39,990",8,4,Intel,10,Windows,SSD,1000,15.6,No,HP,No
57,"1,24,990",16,5,Intel,10,Windows,SSD,256,15.6,No,Acer,Yes
58,"33,990",8,4,AMD,Not Mentioned,Windows,SSD,512,16,No,Lenovo,No
59,"52,490",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
60,"87,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
61,"1,39,990",16,5,Intel,10,Windows,SSD,2000,15.6,No,MSI,Yes
62,"79,990",8,4,AMD,Not Mentioned,Mac,SSD,512,17.3,No,Apple,No
63,"59,990",16,4,Intel,10,Windows,SSD,512,13.3,No,HP,No
64,"35,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,No
65,"59,990",16,4,AMD,Not Mentioned,Windows,SSD,256,15.6,No,Asus,Yes
66,"4,89,990",2,3,Intel,10,Windows,SSD,512,15.6,No,MSI,Yes
67,"18,990",4,4,Intel,10,Windows,SSD,512,17.3,No,Primebook,No
68,"52,990",8,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,MSI,Yes
69,"53,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,Yes
70,"45,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,No
71,"33,990",8,4,Intel,10,Windows,SSD,512,14,No,Lenovo,No
72,"39,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,15,No,Infinix,No
73,"63,990",16,4,Intel,10,Windows,SSD,256,15.6,No,Asus,No
74,"67,990",16,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
75,"16,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Primebook,No
76,"56,990",8,4,Intel,10,Windows,SSD,512,11.6,No,Asus,No
77,"56,999",16,4,AMD,Not Mentioned,Windows,SSD,1000,14,No,HP,No
78,"30,990",8,4,AMD,5,Windows,SSD,512,14,No,HP,No
79,"18,990",4,4,Intel,10,Windows,Both,1000+256,15.6,No,Primebook,No
80,"84,990",16,5,Intel,10,Windows,SSD,512,11.6,No,Asus,Yes
81,"23,990",8,4,Intel,10,Windows,SSD,1000,15.6,No,Infinix,No
82,"39,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
83,"54,990",8,4,Intel,10,Windows,SSD,1000,15.6,No,HP,No
84,"42,990",8,4,Intel,10,Windows,SSD,512,15.6,No,MSI,No
85,"3,22,490",32,3,AMD,Not Mentioned,Mac,SSD,512,14,No,Apple,No
86,"59,990",16,4,Intel,10,Windows,SSD,512,16,No,MSI,No
87,"66,990",16,4,Intel,10,Windows,SSD,512,14,No,MSI,Yes
88,"63,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
89,"1,09,990",16,4,Intel,10,Windows,SSD,512,15.6,No,MSI,No
90,"67,990",8,4,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
91,"96,990",16,5,Intel,10,Windows,SSD,512,15.6,No,MSI,Yes
92,"62,890",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,Yes
93,"65,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,Yes
94,"59,990",16,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
95,"78,990",8,5,Intel,10,Windows,SSD,512,14,No,MSI,Yes
96,"58,990",16,4,Intel,10,Windows,SSD,1000,15.6,No,HP,No
97,"69,990",16,4,Intel,10,Windows,SSD,512,15.6,No,MSI,Yes
98,"34,500",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Acer,No
99,"16,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Primebook,No
100,"64,990",16,4,Intel,10,Windows,SSD,512,11.6,No,MSI,Yes
101,"39,990",8,4,Intel,10,Windows,SSD,512,15.6,No,MSI,No
102,"94,990",16,4,Intel,10,Windows,SSD,512,14,No,MSI,Yes
103,"54,990",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
104,"39,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Lenovo,No
105,"84,999",16,4,AMD,Not Mentioned,Windows,SSD,256,15.5,No,HP,No
106,"38,990",8,4,Intel,10,Windows,SSD,256,14,No,Lenovo,No
107,"52,490",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
108,"37,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Acer,No
109,"26,490",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Infinix,No
110,"1,04,990",16,4,Intel,10,Windows,SSD,256,15.6,No,Lenovo,Yes
111,"59,990",16,4,Intel,10,Windows,SSD,512,15.5,No,HP,No
112,"45,990",8,4,Intel,10,Windows,SSD,512,14,No,Realmebook,No
113,"74,990",16,4,Intel,10,Windows,SSD,512,14,No,Asus,No
114,"27,990",8,4,Intel,10,Windows,SSD,512,14,No,Infinix,No
115,"18,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Primebook,No
116,"79,990",8,4,AMD,Not Mentioned,Mac,SSD,512,11.6,No,Apple,No
117,"39,990",8,4,AMD,Not Mentioned,Windows,SSD,256,13.3,No,Lenovo,No
118,"42,990",8,4,AMD,Not Mentioned,Windows,SSD,2000,0,No,MSI,No
119,"43,975",8,4,Intel,10,Windows,SSD,512,14,No,Lenovo,No
120,"27,990",8,4,Intel,10,Windows,SSD,1000,15.6,No,Infinix,No
121,"42,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,No
122,"45,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,14,No,Asus,No
123,"16,990",4,4,Intel,10,Windows,SSD,512,14,No,Primebook,No
124,"58,990",16,4,Intel,10,Windows,SSD,512,11.6,No,HP,Yes
125,"32,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Samsung,No
126,"58,490",8,4,AMD,Not Mentioned,Windows,SSD,512,14,No,HP,Yes
127,"54,990",8,4,Intel,10,Windows,SSD,512,16.1,No,HP,No
128,"57,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Acer,Yes
129,"23,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Infinix,No
130,"2,99,990",32,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,Yes
131,"52,490",8,4,AMD,Not Mentioned,Windows,SSD,1000,17.3,No,HP,No
132,"78,490",16,5,Intel,10,Windows,SSD,1000,15.6,No,HP,No
133,"59,990",16,4,Intel,10,Windows,SSD,512,13.3,No,Asus,No
134,"2,10,990",16,5,Intel,10,Windows,SSD,512,16,No,Asus,No
135,"59,990",16,4,Intel,10,Windows,SSD,256,17.3,No,HP,No
136,"1,24,990",16,5,Intel,10,Windows,Both,1000+256,14,No,Asus,No
137,"54,990",8,4,Intel,10,Windows,SSD,512,16,No,HP,Yes
138,"39,990",2,3,Intel,10,Windows,SSD,512,15.6,No,Acer,No
139,"18,990",8,5,Intel,Not Mentioned,Windows,SSD,1000,15.6,No,Primebook,No
140,"55,890",4,4,Intel,10,Windows,SSD,256,11.6,No,Dell,No
141,"73,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
142,"39,990",16,4,AMD,Not Mentioned,Windows,SSD,512,14,Yes,Lenovo,No
143,"43,975",8,4,Intel,10,Windows,SSD,512,15.6,No,Lenovo,No
144,"1,69,990",8,4,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
145,"1,23,990",16,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Asus,No
146,"65,990",16,5,Intel,10,Windows,SSD,512,15.6,No,Asus,No
147,"16,990",8,4,Intel,10,Windows,SSD,1000,14,No,Primebook,No
148,"39,990",4,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,Acer,No
149,"22,490",2,3,Intel,10,DOS,SSD,512,15.6,No,HP,No
150,"71,990",8,5,Intel,7,Windows,SSD,1000,15.6,No,MSI,Yes
151,"54,990",4,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
152,"79,990",16,4,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
153,"3,22,490",8,4,Intel,10,Mac,SSD,1000,15.6,No,Apple,No
154,"27,990",16,4,Intel,10,Windows,SSD,512,16,No,Infinix,No
155,"52,490",32,3,Intel,10,Windows,SSD,512,15.6,No,HP,No
156,"74,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Samsung,No
157,"58,399",8,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Lenovo,No
158,"33,990",16,4,Intel,10,Windows,SSD,1000,15.6,No,Acer,No
159,"59,990",16,4,Intel,10,Windows,SSD,256,15.6,No,HP,No
160,"73,890",8,5,AMD,Not Mentioned,Windows,SSD,512,14,No,Dell,No
161,"2,11,990",16,4,Intel,10,Windows,SSD,512,16,No,Asus,No
162,"65,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Gigabyte,Yes
163,"18,990",16,5,AMD,Not Mentioned,Windows,SSD,256,15.6,No,Primebook,No
164,"54,990",16,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,Realmebook,No
165,"2,85,490",4,4,Intel,10,Mac,SSD,512,14,No,Apple,No
166,"49,990",16,4,Intel,10,Windows,SSD,512,14,No,Asus,No
167,"33,990",32,3,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Lenovo,No
168,"2,29,990",8,5,Intel,10,Windows,SSD,512,15,No,Asus,No
169,"54,890",8,4,Intel,10,Windows,SSD,512,14,Yes,HP,No
170,"16,990",32,5,AMD,Not Mentioned,Windows,Both,1000+256,15.6,No,Primebook,No
171,"54,990",8,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,HP,No
172,"55,652",4,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Dell,No
173,"2,79,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
174,"79,490",8,4,AMD,Not Mentioned,Windows,SSD,256,15.6,No,HP,No
175,"42,690",8,4,Intel,10,Windows,SSD,512,16,No,Dell,No
176,"52,490",32,5,Intel,10,Windows,SSD,256,14,Yes,HP,No
177,"59,990",16,4,AMD,Not Mentioned,Windows,SSD,512,14,No,HP,No
178,"74,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,MSI,No
179,"42,907",8,4,AMD,Not Mentioned,Windows,SSD,2000,14,No,Dell,No
180,"18,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Primebook,No
181,"38,990",8,4,Intel,10,Windows,SSD,512,14,No,Lenovo,No
182,"74,990",8,4,Intel,10,Windows,SSD,512,11.6,No,HP,Yes
183,"58,990",4,4,Intel,10,Windows,SSD,512,15.6,No,Acer,Yes
184,"69,990",8,4,Intel,10,Windows,SSD,1000,15.6,Yes,Samsung,No
185,"49,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Asus,No
186,"43,975",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Lenovo,No
187,"84,990",8,4,Intel,Not Mentioned,Windows,SSD,512,15.6,No,MSI,Yes
188,"64,990",8,5,Intel,10,Windows,SSD,512,15.6,No,Asus,Yes
189,"1,54,490",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,Yes
190,"49,990",16,4,Intel,10,Windows,SSD,1000,17.3,No,Lenovo,Yes
191,"33,990",8,4,Intel,10,Windows,SSD,2000,16.1,No,Lenovo,No
192,"68,990",32,5,AMD,Not Mentioned,Windows,SSD,1000,15.5,No,Lenovo,No
193,"36,790",8,4,Intel,10,Windows,SSD,512,15,No,Dell,No
194,"39,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Asus,No
195,"16,990",16,4,Intel,10,Windows,SSD,512,0,No,Primebook,No
196,"79,990",8,4,Intel,Not Mentioned,Windows,SSD,256,15.6,No,Asus,No
197,"3,79,990",8,5,Intel,10,Windows,Both,1000,11.6,No,Asus,No
198,"57,990",4,4,Intel,10,Windows,SSD,2000,16,No,HP,No
199,"54,990",16,4,Intel,10,Windows,SSD,512,16,No,HP,No
200,"51,999",32,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
201,"64,990",16,4,Intel,10,Windows,SSD,256,15.6,No,HP,Yes
202,"1,29,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Asus,No
203,"52,490",16,5,Intel,10,Windows,SSD,512,15.6,No,HP,No
204,"55,400",16,4,AMD,Not Mentioned,Windows,Both,1000+256,15.6,No,Lenovo,No
205,"68,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
206,"39,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Lenovo,No
207,"59,990",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
208,"2,85,490",16,4,AMD,Not Mentioned,Mac,SSD,512,15.6,No,Apple,No
209,"4,29,990",8,4,Intel,10,Windows,SSD,1000,15.6,No,Asus,No
210,"1,77,990",16,4,AMD,Not Mentioned,Windows,SSD,1000,14,No,Asus,No
211,"18,990",32,3,AMD,Not Mentioned,Windows,SSD,512,14,No,Primebook,No
212,"40,999",32,5,AMD,Not Mentioned,Windows,Both,1000+256,16,No,Asus,No
213,"1,09,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,Yes
214,"61,990",4,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,Lenovo,No
215,"33,990",8,4,AMD,Not Mentioned,Windows,SSD,256,15.6,No,Lenovo,No
216,"3,34,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Dell,Yes
217,"2,24,990",16,4,Intel,10,Windows,SSD,512,14,Yes,Asus,No
218,"57,990",8,4,Intel,10,Windows,SSD,2000,15,No,HP,No
219,"16,990",32,5,Intel,10,Windows,SSD,512,17.3,No,Primebook,No
220,"64,990",32,5,AMD,Not Mentioned,Windows,SSD,1000,16,No,HP,Yes
221,"44,990",16,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
222,"35,990",4,4,Intel,10,Windows,SSD,512,11.6,No,Acer,No
223,"54,990",16,4,Intel,10,Windows,SSD,1000,15.6,No,HP,No
224,"84,990",8,4,Intel,10,Windows,SSD,512,14,Yes,MSI,Yes
225,"1,17,728",8,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Dell,Yes
226,"47,990",8,4,Intel,10,Windows,SSD,256,15.6,No,Asus,No
227,"52,490",16,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
228,"56,990",16,5,AMD,Not Mentioned,Windows,SSD,512,0,No,Asus,No
229,"2,50,000",8,5,Intel,10,Windows,SSD,512,15.6,No,alienware,Yes
230,"1,47,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Asus,Yes
231,"59,990",8,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
232,"66,990",16,4,Intel,10,Windows,SSD,2000,15.6,No,MSI,Yes
233,"55,400",32,5,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Lenovo,No
234,"41,990",16,4,Intel,10,Windows,SSD,512,13.4,Yes,Acer,No
235,"33,990",16,4,AMD,Not Mentioned,Windows,SSD,1000,14,No,Lenovo,No
236,"53,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Lenovo,Yes
237,"68,490",2,3,Intel,10,Windows,SSD,512,15.6,No,HP,No
238,"2,24,990",8,5,Intel,10,Windows,SSD,512,15.6,No,Asus,No
239,"18,990",8,4,AMD,Not Mentioned,Windows,SSD,512,15,No,Primebook,No
240,"47,499",8,4,Intel,10,Windows,SSD,1000,15.6,No,HP,No
241,"2,69,990",16,5,Intel,10,Windows,Both,1000+256,13.3,No,Asus,No
242,"39,990",32,5,Intel,10,Windows,SSD,512,16,No,Asus,No
243,"16,990",4,4,Intel,10,Windows,SSD,512,11.6,No,Primebook,No
244,"97,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Lenovo,Yes
245,"1,99,990",16,5,Intel,10,Windows,SSD,2000,17.3,No,Asus,No
246,"68,990",8,5,Intel,10,Windows,SSD,1000,15.6,No,Lenovo,Yes
247,"54,990",4,4,AMD,Not Mentioned,Windows,SSD,1000,11.6,No,HP,No
248,"1,10,490",16,4,Intel,10,Mac,SSD,512,15.6,No,Apple,No
249,"92,990",16,5,Intel,10,Windows,SSD,1000,14,Yes,HP,Yes
250,"56,990",16,4,Intel,10,Windows,SSD,512,15.6,No,MSI,No
251,"52,490",8,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
252,"26,490",8,3,Intel,10,Windows,SSD,512,13,No,Infinix,No
253,"1,04,135",16,4,Intel,10,Windows,SSD,512,16.1,No,Lenovo,Yes
254,"3,61,990",8,4,Intel,10,Windows,SSD,1000,14,No,Asus,No
255,"59,990",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
256,"74,999",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
257,"1,31,990",16,4,Intel,10,Windows,SSD,512,16,No,Lenovo,Yes
258,"49,990",32,5,Intel,10,Windows,SSD,1000,16,No,Asus,No
259,"43,975",16,4,Intel,10,Windows,SSD,1000,14,No,Lenovo,No
260,"46,490",16,4,Intel,10,Windows,SSD,512,15.6,No,Dell,No
261,"44,499",16,4,Intel,10,Windows,SSD,512,15.6,No,Dell,No
262,"1,71,990",8,4,Intel,10,Windows,SSD,512,14,Yes,Asus,No
263,"84,990",8,4,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
264,"63,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,Yes
265,"81,990",8,4,Intel,10,Windows,SSD,2000,15.6,No,HP,No
266,"71,990",16,5,Intel,10,Windows,SSD,512,16,Yes,MSI,No
267,"16,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Primebook,No
268,"2,24,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Acer,Yes
269,"1,31,990",16,4,Intel,10,Windows,SSD,1000,15.6,Yes,Asus,No
270,"1,75,990",16,4,Intel,10,Windows,SSD,1000,15.6,No,MSI,No
271,"54,990",4,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,HP,No
272,"2,44,990",32,5,AMD,Not Mentioned,Windows,SSD,512,16,No,MSI,Yes
273,"56,490",16,5,Intel,10,Windows,SSD,1000,14,No,HP,No
274,"71,990",16,5,Intel,10,Windows,SSD,512,16,No,Lenovo,No
275,"52,490",8,4,Intel,10,Windows,SSD,256,15.6,No,HP,No
276,"99,990",16,5,Intel,10,Windows,SSD,512,15.6,No,Dell,Yes
277,"1,74,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
278,"49,890",8,4,Intel,10,Windows,SSD,1000,14,Yes,Dell,No
279,"59,990",8,4,Intel,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
280,"72,990",16,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
281,"1,54,990",16,4,Intel,10,Windows,SSD,512,0,No,Asus,No
282,"2,81,990",16,4,Intel,10,Windows,SSD,512,0,No,Asus,Yes
283,"18,990",16,4,AMD,Not Mentioned,Windows,SSD,256,15.6,No,Primebook,No
284,"34,990",16,4,AMD,Not Mentioned,DOS,SSD,512,15.6,No,HP,No
285,"51,139",16,4,Intel,10,Windows,SSD,1000,14,No,HP,No
286,"82,490",16,4,AMD,Not Mentioned,Windows,SSD,512,14,Yes,HP,No
287,"33,990",32,5,Intel,10,Windows,SSD,1000,15.6,No,Lenovo,No
288,"33,990",4,4,AMD,Not Mentioned,Windows,Both,1000+256,15.6,No,Lenovo,No
